'ba'gai'ge'fang'zai'shou'wei 把改革放在首位
'bao'jia'wei'guo 保家卫国
'bi'jiao'shi'zai'de'su'du 比较实在的速度
'bing'ru'guo'ying'qi'ye 并入国营企业
'chao'xian'ting'zhan'xie'ding 朝鲜停战协定
'chu'ji'nong'ye'sheng'chan'he'zuo'she 初级农业生产合作社
'da'ji'jing'ji'ling'yu'zhong'yan'zhong'fan'zui'huo'dong 打击经济领域中严重犯罪活动
'dan'gan'hu 单干户
'dang'zai'guo'du'shi'qi'de'zong'lu'xian 党在过渡时期的总路线
'de'dao'geng'duo'shi'hui 得到更多实惠
'di'qi 地契
'dou'zheng'bu'xi 斗争不息
'dou'zheng'e'ba'di'zhu 斗争恶霸地主
'dui'zi'chan'jie'ji'de'he'ping'shu'mai 对资产阶级的和平赎买
'fa'zhan'jia'ge'zheng'ce'de'tiao'jie'zuo'yong 发展价格政策的调节作用
'fan'dong'dang'tuan'gu'gan'fen'zi 反动党团骨干分子
'fan'dong'hui'dao'men'tou'zi 反动会道门头子
'fan'ge'ming'can'yu'shi'li 反革命残余势力
'fan'ge'ming'fen'zi 反革命分子
'fan'shen 翻身
'fan'you'pai'dou'zheng 反右派斗争
'fei'jun'shi'qu 非军事区
'fen'pei'di'zhu'cai'chan 分配地主财产
'fen'pei'tu'di 分配土地
'gai'ge'ling'dao'ji'gou'he'gan'bu'zhi'du 改革领导机构和干部制度
'gai'ge'shi'she'hui'zhu'yi'zhi'du'de'zi'wo'wan'shan 改革是社会主义制度的自我完善
'gai'ge'wai'mao'ti'zhi 改革外贸体制
'gai'zao'cheng'wei'zi'shi'qi'li'de'lao'dong'zhe 改造成为自食其力的劳动者
'gao'ji'nong'ye'sheng'chan'he'zuo'she 高级农业生产合作社
'ge'ti'jing'ying'nong'ye 个体经营农业
'ge'ti'shou'gong'ye'lao'dong'zhe 个体手工业劳动者
'gong'shang'jie 工商界
'gong'shang'ye'zhe 工商业者
'gong'si'he'ying 公私合营
'gong'zi'ti'zhi'gai'ge 工资体制改革
'gu'chan'ding'xi 估产定息
'gu'li'fu'nong 孤立富农
'guo'jia'zi'ben'zhu'yi'cheng'fen 国家资本主义成分
'guo'ku'quan 国库券
'guo'min'jing'ji'de'liang'xing'xun'huan 国民经济的良性循环
'guo'nei'wai'de'jing'ji'ji'shu'jiao'liu 国内外的经济技术交流
'he'li'tiao'zheng'chan'ye'jie'gou 合理调整产业结构
'he'zuo'xiao'zu 合作小组
'hong'guan'guan'li 宏观管理
'hong'guan'tiao'jie 宏观调节
'hu'zhu'zu 互助组
'hua'fen'jie'ji 划分阶级
'ji'gou'gai'ge 机构改革
'ji'hua'ti'zhi'gai'ge 计划体制改革
'jia'ge'gai'ge 价格改革
'jia'ge'tiao'zheng 价格调整
'jian'chi'du'li'zi'zhu'de'dui'wai'zheng'ce 坚持独立自主的对外政策
'jian'die 间谍
'jian'yi'bu'ba 坚毅不拔
'jian'zheng'gai'ge 简政改革
'jiao'yu'ti'zhi'gai'ge 教育体制改革
'jing'ji'ti'zhi'gai'ge 经济体制改革
'jing'ji'xiao'yi 经济效益
'jun'shi'fen'jie'xian 军事分界线
'jun'shi'ting'zhan'wei'yuan'hui 军事停战委员会
'kai'tuo'qian'jin 开拓前进
'kang'mei'yuan'chao'yun'dong 抗美援朝运动
'ke'ji'ti'zhi'gai'ge 科技体制改革
'lao'dong'qun'zhong'ji'ti'suo'you'zhi 劳动群众集体所有制
'lao'dong'zhi'du'de'gai'ge 劳动制度的改革
'lian'he'zhong'nong 联合中农
