'ban'gong'ting 办公厅
'bao'li'ke'ji'you'xian'gong'si 保利科技有限公司
'bei'hai'jian'dui 北海舰队
'bei'jing'guo'ji'jing'ji'xin'xi'zhong'xin 北京国际经济信息中心
'bei'jing'ke'ji'xie'zuo'zhong'xin 北京科技协作中心
'cai'zheng'bu 财政部
'cai'zheng'jing'ji'wei'yuan'hui 财政经济委员会
'ce'hui'xue'hui 测绘学会
'dai'biao'zi'ge'shen'cha'wei'yuan'hui 代表资格审查委员会
'di'zhen'xue'hui 地震学会
'dong'hai'jian'dui 东海舰队
'dui'wai'mao'yi'zhong'cai'wei'yuan'hui 对外贸易仲裁委员会
'fa'lv'wei'yuan'hui 法律委员会
'fu'zhu'xi 副主席
'gong'an'bu 公安部
'gong'cheng're'wu'li'xue'hui 工程热物理学会
'guang'da'shi'ye'gong'si 光大实业公司
'guo'fang'bu 国防部
'guo'fang'ke'xue'ji'shu'gong'ye'wei'yuan'hui 国防科学技术工业委员会
'guo'ji'jin'rong'xue 国际金融学
'guo'ji'shu'dian 国际书店
'guo'ji'wen'ti'yan'jiu'suo 国际问题研究所
'guo'ji'xin'tuo'fu'wu'gong'si 国际信托服务公司
'guo'ji'zhan'lue'wen'ti'xue'hui 国际战略问题学会
'guo'ji'zhao'biao'gong'si 国际招标公司
'guo'ji'zheng'zhi'he'jing'ji'yan'jiu'zhong'xin 国际政治和经济研究中心
'guo'jia'an'quan'bu 国家安全部
'guo'jia'fa'zhan'he'gai'ge'wei'yuan'hui 国家发展和改革委员会
'guo'jia'min'zu'shi'wu'wei'yuan'hui 国家民族事务委员会
'guo'jia'ren'kou'he'ji'hua'sheng'yu'wei'yuan'hui 国家人口和计划生育委员会
'guo'tu'zi'yuan'bu 国土资源部
'hai'shi'zhong'cai'wei'yuan'hui 海事仲裁委员会
'hai'yang'xue'hui 海洋学会
'hua'qiao'wei'yuan'hui 华侨委员会
'ji'nian'song'qing'ling'guo'jia'ming'yu'zhu'xi'ji'jin'hui 纪念宋庆龄国家名誉主席基金会
'jian'cha'bu 监察部
'jian'she'bu 建设部
'jiao'tong'bu 交通部
'jiao'yu'bu 教育部
'jiao'yu'ke'xue'wen'hua'he'wei'sheng'wei'yuan'hui 教育科学文化和卫生委员会
'jiu'san'xue'she 九三学社
'jun'shi'ji'gou 军事机构
'ke'pu'xue'hui 科普学会
'ke'xue'ji'shu'bu 科学技术部
'lao'dong'he'she'hui'bao'zhang'bu 劳动和社会保障部
'mi'shu'chu 秘书处
'min'jian 民建
'min'jin 民进
'min'meng 民盟
'min'zheng'bu 民政部
'min'zhu'dang'pai 民主党派
'min'zu'wei'yuan'hui 民族委员会
'nan'hai'jian'dui 南海舰队
'nei'wu'si'fa'wei'yuan'hui 内务司法委员会
'nong'ye'bu 农业部
'quan'guo'er'tong'he'shao'nian'gong'zuo'xie'tiao'wei'yuan'hui 全国儿童和少年工作协调委员会
'quan'guo'ren'min'dai'biao'da'hui'chang'wu'wei'yuan'hui 全国人民代表大会常务委员会
'quan'guo'ren'min'dai'biao'da'hui'ge'wei'yuan'hui 全国人民代表大会各委员会
'quan'guo'shao'nian'er'tong'wen'hua'yi'shu'wei'yuan'hui 全国少年儿童文化艺术委员会
'quan'guo'shi'xue'hui 全国史学会
'quan'guo'wei'yuan'hui 全国委员会
'quan'guo'zheng'xie'chang'wu'wei'yuan'hui 全国政协常务委员会
'ren'da'chang'wei'ban'gong'ting 人大常委办公厅
'ren'da'chang'wei'fa'zhi'gong'zuo'wei'yuan'hui 人大常委法制工作委员会
'ren'min'tuan'ti 人民团体
'ren'shi'bu 人事部
'shang'wu'bu 商务部
'shao'nian'ke'xue'jiang'ji'jin'hui 少年科学奖基金会
'shen'ji'shu 审计署
'shui'li'bu 水利部
'si'fa'bu 司法部
'song'qing'ling'ji'jin'hui 宋庆龄基金会
