'ai'gang'jing'ye 爱岗敬业
'ai'xin 爱心
'an'quan 安全
'ba'shi'yan'ge'yao'qiu 八是严格要求
'ba'wo 把握
'ba'wo'qie'ru'dian 把握切入点
'ba'wo'zhe'zhong'dian 把握着重点
'ba'wo'zhuo'li'dian 把握着力点
'ban'fa 办法
'bang'zhu 帮助
'bao'chi 保持
'bao'hu 保护
'bao'rong 包容
'bao'zhang 保障
'bao'zheng 保证
'ben'ling 本领
'ben'zhi'shu'xing 本质属性
'bi'jiao'yuan'man 比较圆满
'bi'yao'xing 必要性
'bi'zhong 比重
'biao'zhun 标准
'bu'ba'shou 不罢手
'bu'dong'yao 不动摇
'bu'duan'jia'qiang 不断加强
'bu'duan'ti'gao'fu'wu'xin'shui'ping 不断提高服务新水平
'bu'duan'zeng'qiang 不断增强
'bu'fang'qi 不放弃
'bu'gai'bian 不改变
'bu'song'jin 不松劲
'bu'tui'suo 不退缩
'bu'tuo'xie 不妥协
'bu'wei'nan 不畏难
'bu'xie'dai 不懈怠
'cha'ju 差距
'chang'dao 倡导
'chang'qi'xing 长期性
'chang'tai'hua 常态化
'chang'xiang 唱响
'chang'xiao'ji'zhi 长效机制
'chang'yong'dong'ci 常用动词
'chang'yong'duan'yu 常用短语
'cheng'guo 成果
'cheng'ji 成绩
'cheng'jiu 成就
'cheng'jiu'gan 成就感
'cheng'xin 诚心
'cheng'xu'hua 程序化
'chi'xu 持续
'chi'xu'tui'jin 持续推进
'chi'xu'zeng'shou 持续增收
'chi'xu'zeng'xiao 持续增效
'chong'fen 充分
'chu'fa'dian 出发点
'chu'tai 出台
'chuan'tong 传统
'chuang'xin 创新
'chuang'zao'li 创造力
'chuang'zao'xing 创造性
'ci'zu 词组
'cong'yan'kong'zhi 从严控制
'cu'jin 促进
'cu'jin'dui'wu'su'zhi'xin'ti'gao 促进队伍素质新提高
'cui'sheng'feng'shuo'cheng'guo 催生丰硕成果
'cuo'shi 措施
'da'fu'ti'gao 大幅提高
'da'ju'yi'shi 大局意识
'da'lao 打牢
'da'li 大力
'dai'dong 带动
'dang'qian'gong'zuo'yao'you'xin'shui'ping 当前工作要有新水平
'dao'lu 道路
'di'fang 地方
'di'wei 地位
'dong'ci'er'zi'bu 动词二字部
'dong'ci'yi'zi'bu 动词一字部
'dong'li 动力
'dong'yuan 动员
'dui'wu'jian'she'yao'you'xin'mian'mao 队伍建设要有新面貌
'duo'ceng'ci 多层次
'duo'cuo'shi 多措施
'duo'fang'mian 多方面
'duo'li'liang 多力量
