'an'zhao'chan'ye'ji'ju 按照产业集聚
'ba'rong'ba'chi 八荣八耻
'bao'han'zhe'ai'guo'zhu'yi 包含着爱国主义
'da'li'fa'zhan'xin'xi 大力发展信息
'da'xing'shi'you'hua'gong 大型石油化工
'deng'xiao'ping'li'lun'he 邓小平理论和
'di'biao'di'xia'shui'tiao'pei 地表地下水调配
'di'yi 第一
'duo'yuan'fa'zhan 多元发展
'gan'ran'li 感染力
'gao'dang'shu'kong'ji'chuang 高档数控机床
'gao'ji'shu'chan'ye 高技术产业
'gou'zhu'wen'ding 构筑稳定
'gu'li'mei'dian'lian'ying 鼓励煤电联营
'gui'mo'fa'zhan'he'kuo'da'guo'ji'he'zuo'de'yao'qiu 规模发展和扩大国际合作的要求
'hang'kong'hang'tian'deng'chan'ye 航空航天等产业
'he'xin'yuan'qi'jian'pei'tao 核心元器件配套
'ji'ji'fa'zhan'he'dian 积极发展核电
'ji'ji'kai'zhan'hai'shui'dan'hua 积极开展海水淡化
'ji'ti'zhu'yi 集体主义
'jia'gong'zhi'zao'he'xi'tong'ji'cheng'de'zheng'ti'shui'ping 加工制造和系统集成的整体水平
'jia'kuai'fa'zhan'feng'neng 加快发展风能
'jia'kuai'fa'zhan'xian'jin'zhi'zao'ye 加快发展先进制造业
'jia'qiang'dian'wang'jian'she 加强电网建设
'jia'qiang'guo'nei'shi'you'tian'ran'qi'kan'tan'kai'fa 加强国内石油天然气勘探开发
'jia'qiang'ji'chu'chan'ye'ji'chu'she'shi'jian'she 加强基础产业基础设施建设
'jian'chi'jie'yue'you'xian 坚持节约优先
'jian'chi'yi'ma'ke'si'lie'ning'zhu'yi 坚持以马克思列宁主义
'jian'chi'yi'ren'wei'ben 坚持以人为本
'jian'chi'yi'xin'xi'hua'dai'dong'gong'ye'hua 坚持以信息化带动工业化
'jian'chi'zi'zhu'chuang'xin'yu'ji'shu'yin'jin'xiang'jie'he 坚持自主创新与技术引进相结合
'jian'she'da'xing'mei'tan'ji'di 建设大型煤炭基地
'jiao'tong'yun'shu 交通运输
'jie'fang'si'xiang 解放思想
'jing'ji 经济
'kai'fa'li'yong'mei'ceng'qi 开发利用煤层气
'kong'zhi'di'xia'shui'kai'cai 控制地下水开采
'kuo'da'jing'wai'he'zuo'kai'fa 扩大境外合作开发
'kuo'da'xi'dian'dong'song'gui'mo 扩大西电东送规模
'lao'gu'shu'li'he'shi'jian'she'hui'zhu'yi'rong'ru'guan 牢固树立和实践社会主义荣辱观
'lao'gu'shu'li'hu'jin'tao'zong'shu'ji'chang'dao'de'yi 牢固树立胡锦涛总书记倡导的以
'li'zu'guo'nei 立足国内
'mao'ze'dong'si'xiang 毛泽东思想
'mei'wei'ji'chu 煤为基础
'neng'yuan'chan'ye 能源产业
'nu'li'ti'gao'si'xiang'zheng'zhi'jiao'yu'de'zhen'dui'xing 努力提高思想政治教育的针对性
'pei'yu'geng'duo'xin'de'zeng'zhang'dian 培育更多新的增长点
